IndividualNumber,ROINumber,ImageLabel,IL_Site,IL_Number,IL_DV,TubeLabel,Event,TaxonCode,Family,Subfamily,Supertribe,Tribe,Subtribe,Genus,Group,SubspeciesEpithet,SpeciesName,Area_SQ_mm_Dorsal,Perimeter_Dorsal,BBWidth_Dorsal,BBHeight_Dorsal,MajorAxis_Dorsal,MinorAxis_Dorsal,Angle_Dorsal,Circ_Dorsal,Feret_Dorsal,IntDen_Dorsal,RawIntDen_Dorsal,FeretX_Dorsal,FeretY_Dorsal,FeretAngle_Dorsal,MinFeret_Dorsal,AR_Dorsal,Round_Dorsal,Solidity_Dorsal,Area_SQ_mm_Ventral,Perimeter_Ventral,BBWidth_Ventral,BBHeight_Ventral,MajorAxis_Ventral,MinorAxis_Ventral,Angle_Ventral,Circ_Ventral,Feret_Ventral,IntDen_Ventral,RawIntDen_Ventral,FeretX_Ventral,FeretY_Ventral,FeretAngle_Ventral,MinFeret_Ventral,AR_Ventral,Round_Ventral,Solidity_Ventral,cIL_Site,cIL_Number,cROINumber,mean_Red_Dorsal,stddev_Red_Dorsal,min_Red_Dorsal,max_Red_Dorsal,intden_Red_Dorsal,skew_Red_Dorsal,kurt_Red_Dorsal,rawintdens_Red_Dorsal,mean_Green_Dorsal,stddev_Green_Dorsal,min_Green_Dorsal,max_Green_Dorsal,intden_Green_Dorsal,skew_Green_Dorsal,kurt_Green_Dorsal,rawintdens_Green_Dorsal,mean_Blue_Dorsal,stddev_Blue_Dorsal,min_Blue_Dorsal,max_Blue_Dorsal,intden_Blue_Dorsal,skew_Blue_Dorsal,kurt_Blue_Dorsal,rawintdens_Blue_Dorsal,mean_Red_Ventral,stddev_Red_Ventral,min_Red_Ventral,max_Red_Ventral,intden_Red_Ventral,skew_Red_Ventral,kurt_Red_Ventral,rawintdens_Red_Ventral,mean_Green_Ventral,stddev_Green_Ventral,min_Green_Ventral,max_Green_Ventral,intden_Green_Ventral,skew_Green_Ventral,kurt_Green_Ventral,rawintdens_Green_Ventral,mean_Blue_Ventral,stddev_Blue_Ventral,min_Blue_Ventral,max_Blue_Ventral,intden_Blue_Ventral,skew_Blue_Ventral,kurt_Blue_Ventral,rawintdens_Blue_Ventral
3,7,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,127.132,105.307,12.182,21.545,20.231,8.001,75.84,0.144,22.225,10969.6,1327320,37.182,33.455,75.793,10.597,2.529,0.395,0.713,120.496,105.588,12.091,21.636,20.144,7.616,77.721,0.136,22.39,10445.9,1263960,38.273,28.727,74.214,10.847,2.645,0.378,0.645,BLAN,1,7,56.227,38.178,3,225,1186.47,0.908,-0.347,864937,48.103,35.868,0,229,1015.06,1.047,0.213,739976,44.694,34.348,0,246,943.108,1.288,1.253,687526,48.984,30.534,4,183,765.001,2.079,4.271,557686,40.7,29.488,0,176,635.627,2.232,5.346,463372,38.494,27.293,0,172,601.17,2.333,6.255,438253
9,2,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,99.826,102.023,12.273,22.364,18.647,6.816,104.751,0.121,23.085,8597.15,1040260,131.091,8.273,104.365,11.447,2.736,0.366,0.521,108.463,67.563,9.364,21.636,18.729,7.373,106.422,0.299,22.183,9431.68,1141230,134.182,9,104.72,8.761,2.54,0.394,0.823,BLAN,1,2,51.513,34.591,3,163,853.539,1.13,0.301,622230,44.706,31.801,1,161,740.741,1.238,0.831,540000,42.423,29.998,0,171,702.912,1.318,1.22,512423,52.485,32.865,4,185,944.877,1.662,2.048,688815,43.638,30.892,0,180,785.599,1.763,2.75,572702,41.354,28.873,0,173,744.487,1.897,3.466,542731
10,5,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,110.983,104.953,21.636,17.727,15.771,8.96,58.539,0.127,24.946,9796.21,1185340,141.182,26,30.677,12.779,1.76,0.568,0.49,97.471,130.602,13.455,25.818,15.909,7.801,77.758,0.072,25.918,8295.82,1003790,153.545,9.818,95.031,12.199,2.039,0.49,0.386,BLAN,1,5,55.435,39.234,5,164,1021.17,1.082,-0.03,744432,49.566,37.454,1,168,913.067,1.154,0.248,665626,47.449,35.451,0,192,874.067,1.172,0.4,637195,48.912,28.529,2,173,952.549,1.676,2.681,694408,42.571,26.731,0,167,829.062,1.638,2.7,604386,40.449,24.268,0,163,787.727,1.622,3.039,574253
1,6,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,141.983,100.93,14.273,20.364,18.582,9.729,68.53,0.175,21.205,12177.2,1473440,3.455,30,56.719,12.551,1.91,0.524,0.716,122.612,99.191,14.636,20,18.234,8.562,115.15,0.157,21.987,10556.9,1277390,5.545,12.182,124.216,11.204,2.13,0.47,0.665,BLAN,1,6,53.853,34.816,1,172,1269.13,1.113,0.081,925193,48.36,33.241,0,173,1139.67,1.199,0.398,830820,46.856,31.594,0,178,1104.23,1.224,0.516,804982,48.161,29.565,4,198,713.695,2.525,7.839,520284,37.999,30.177,0,193,563.099,2.606,8.408,410499,36.392,29.003,0,187,539.288,2.7,9.216,393141
8,9,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,97.711,106.016,11.273,19.818,14.431,8.621,81.781,0.109,19.823,8610.86,1041910,119.818,14,91.314,11.226,1.674,0.597,0.649,117.331,111.555,15,19.091,17.601,8.488,68.974,0.118,20.101,10017,1212060,114.091,31.545,70.172,12.098,2.074,0.482,0.714,BLAN,1,9,54.062,34.908,4,175,876.787,1.679,2.4,639178,49.332,33.521,2,171,800.078,1.787,2.955,583257,47.76,32.381,1,170,774.58,1.859,3.393,564669,47.773,29.291,9,191,743.206,2.058,4.504,541797,39.409,28.508,0,186,613.077,2.13,5.297,446933,37.777,26.834,0,183,587.69,2.249,6.292,428426
7,10,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,91.893,54.718,8.455,16.455,16.193,7.225,80.771,0.386,16.555,7827.02,947070,104.818,31,83.695,8.035,2.241,0.446,0.882,89.281,45.975,8.818,15.091,15.914,7.143,75.545,0.531,15.597,7771.12,940306,99.273,27.636,74.1,7.947,2.228,0.449,0.891,BLAN,1,10,44.649,27.739,3,163,681.011,1.6,1.903,496457,39.499,26.372,0,158,602.449,1.627,2.185,439185,38.945,25.311,0,164,594.001,1.667,2.42,433027,59.32,41.907,2,191,1083.38,1.633,1.838,789784,50.646,41.476,0,186,924.967,1.744,2.345,674301,48.337,39.845,0,183,882.802,1.852,2.797,643563
12,4,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,84.43,65.041,8.091,20,18.073,5.948,93.289,0.251,20.161,7179.16,868678,188.455,10.455,97.253,7.236,3.039,0.329,0.75,94.091,78.716,7.818,20.273,17.838,6.716,89.596,0.191,20.994,8134.05,984220,178.636,33.091,74.941,7.384,2.656,0.376,0.744,BLAN,1,4,47.447,29.89,4,152,664.903,1.154,0.63,484714,41.816,29,1,144,585.995,1.148,0.762,427190,40.527,27.713,0,147,567.934,1.104,0.676,414024,52.6,31.077,2,184,1070.47,1.633,2.319,780375,45.06,29.713,0,181,917.025,1.704,2.915,668511,42.923,27.291,0,177,873.542,1.814,3.825,636812
11,3,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,98.273,52.753,12.909,13.364,15.933,7.853,135.208,0.444,17.055,8354.65,1010910,165.182,10.636,137.808,8.357,2.029,0.493,0.901,79.702,56.106,9.364,16.455,16.491,6.154,73.201,0.318,17.106,6776.46,819952,162.364,29.364,71.084,7.914,2.68,0.373,0.829,BLAN,1,3,45.515,28.299,2,138,742.409,1.451,1.218,541216,39.55,27.76,0,143,645.111,1.507,1.511,470286,37.774,26.299,0,167,616.151,1.556,1.713,449174,52.642,29.491,2,179,851.652,1.463,1.528,620854,44.076,27.618,0,171,713.078,1.48,1.733,519834,41.575,25.152,0,167,672.617,1.507,2.018,490338
4,11,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,98.264,63.87,14.818,16.455,16.99,7.364,56.209,0.303,21.14,9079.74,1098650,48,32.727,51.109,8.488,2.307,0.433,0.749,93.727,86.504,12.455,19.182,17.762,6.719,57.896,0.157,21.59,8063.47,975680,46.909,32.636,62.68,8.153,2.644,0.378,0.732,BLAN,1,11,61.946,42.073,15,181,1010.34,1.467,0.905,736535,56.422,41.002,8,176,920.248,1.577,1.271,670861,54.967,40.04,4,175,896.51,1.649,1.541,653556,59.677,45.52,3,201,1041.03,1.697,2.121,758914,51.664,44.799,0,197,901.252,1.852,2.771,657013,49.113,43.183,0,194,856.746,1.967,3.289,624568
6,12,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,112.455,81.708,9.545,19.364,17.345,8.255,99.544,0.212,19.741,9883.52,1195910,87.091,38.273,77.5,9.528,2.101,0.476,0.718,110.033,81.596,12.455,19.545,17.347,8.076,90.22,0.208,20.109,10026.9,1213260,86,14.455,103.596,10.307,2.148,0.466,0.651,BLAN,1,12,51.282,37.968,2,216,957.193,1.265,0.564,697794,45.707,36.241,1,223,853.137,1.346,0.929,621937,44.125,35.263,0,244,823.604,1.403,1.28,600407,54.471,33.663,10,187,854.421,1.634,2.018,622873,45.252,32.779,0,179,709.816,1.709,2.566,517456,43.136,30.667,0,175,676.619,1.809,3.193,493255
